nohup: ignoring input
 * Serving Flask app "backendServer" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://192.168.122.5:8800/ (Press CTRL+C to quit)
127.0.0.1 - - [12/Aug/2025 01:13:49] "GET /input/datasets/Spaceship/rgb/1_val_0060.png HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:14:07] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:14:07] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:14:40] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:14:59] "GET /upload_status/image HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:16:04] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:16:12] "GET /upload_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:17:23] "GET /upload_status/image HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:17:23] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:17:55] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:18:11] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:18:11] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:18:14] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:18:17] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:18:20] "GET /api/gpu_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:19:19] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:19:24] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:22:53] "GET /upload_status/video HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:22:53] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [12/Aug/2025 01:22:55] "GET /upload_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:24:19] "GET /upload_status HTTP/1.1" 200 -
127.0.0.1 - - [12/Aug/2025 01:24:19] "GET /favicon.ico HTTP/1.1" 404 -
